Name,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link
Jay Cutler,https://en.wikipedia.org/wiki/Jay_Cutler,https://www.espn.com/nfl/player/_/id/9597/jay-cutler,https://podcasts.apple.com/us/podcast/uncut-with-jay-cutler/id1581842688,https://www.youtube.com/channel/UCzO91i-LxXgh_FKku4zhZJg,,,,,,,,,,,,,,,,,,,,,
Adam Duvall,https://baseballsavant.mlb.com/savant-player/adam-duvall-594807?stats=statcast-r-hitting-mlb,https://en.wikipedia.org/wiki/Adam_Duvall,https://www.mlb.com/player/adam-duvall-594807,https://www.espn.com/mlb/player/_/id/32664/adam-duvall,,,,,,,,,,,,,,,,,,,,,
Garrett Mitchell,https://baseballsavant.mlb.com/savant-player/garrett-mitchell-669003?stats=statcast-r-hitting-mlb,https://www.mlb.com/player/garrett-mitchell-669003,https://www.instagram.com/garrettmitchell5/?hl=en,https://uclabruins.com/sports/baseball/roster/garrett-mitchell/9549,https://www.espn.com/mlb/player/_/id/4313442/garrett-mitchell,,,,,,,,,,,,,,,,,,,,
Mason Miller,https://baseballsavant.mlb.com/savant-player/mason-miller-695243?stats=statcast-r-pitching-mlb,https://www.mlb.com/player/mason-miller-695243,https://www.espn.com/mlb/player/_/id/4730225/mason-miller,https://en.wikipedia.org/wiki/Mason_Miller,,,,,,,,,,,,,,,,,,,,,
Mark Andrews,https://www.nfl.com/players/mark-andrews/,https://www.espn.com/nfl/player/_/id/3116365/mark-andrews,https://en.wikipedia.org/wiki/Mark_Andrews_(American_football),https://www.instagram.com/mandrews/?hl=en,https://x.com/mandrews_81?lang=en,,,,,,,,,,,,,,,,,,,,
Noah Gray,https://en.wikipedia.org/wiki/Noah_Gray,https://www.espn.com/nfl/player/_/id/4240472/noah-gray,https://www.instagram.com/noahgray87/?hl=en,https://www.nfl.com/players/noah-gray/,,,,,,,,,,,,,,,,,,,,,
Adonai Mitchell,https://en.wikipedia.org/wiki/Adonai_Mitchell,https://www.espn.com/nfl/player/_/id/4597500/adonai-mitchell,https://texaslonghorns.com/sports/football/roster/adonai-mitchell/12575,https://www.colts.com/team/players-roster/adonai-mitchell/,https://www.instagram.com/mocitymitch/,https://x.com/mocitymitch?lang=en,,,,,,,,,,,,,,,,,,,
Blake Ferguson,https://en.wikipedia.org/wiki/Blake_Ferguson_(American_football),https://www.miamidolphins.com/team/players-roster/blake-ferguson/,,,,,,,,,,,,,,,,,,,,,,,
Chad Muma,https://en.wikipedia.org/wiki/Chad_Muma,https://www.espn.com/nfl/player/_/id/4361707/chad-muma,https://gowyo.com/sports/football/roster/chad-muma/6063,https://www.instagram.com/chad_muma/?hl=en,,,,,,,,,,,,,,,,,,,,,
Chris Dudley,https://en.wikipedia.org/wiki/Chris_Dudley,https://www.basketball-reference.com/players/d/dudlech02.html,https://www.chrisdudley.org/about-chris-dudley,https://www.espn.com/nba/player/_/id/213/chris-dudley,https://www.nba.com/stats/player/201/career,,,,,,,,,,,,,,,,,,,,
Adam Morrison,https://en.wikipedia.org/wiki/Adam_Morrison,https://x.com/adammorrison35?lang=en,https://www.basketball-reference.com/players/m/morriad01.html,https://www.espn.com/nba/player/_/id/3016/adam-morrison,https://podcasts.apple.com/us/podcast/the-perimeter-with-adam-morrison/id1560235956,,,,,,,,,,,,,,,,,,,,
Gary Forbes,https://en.wikipedia.org/wiki/Gary_Forbes,https://www.basketball-reference.com/players/f/forbega01.html,https://www.instagram.com/garyforbes_/?hl=en,,,,,,,,,,,,,,,,,,,,,,
Austin Freeman,https://en.wikipedia.org/wiki/Austin_Freeman,https://www.espn.com/mens-college-basketball/player/_/id/36588/austin-freeman,https://guhoyas.com/sports/mens-basketball/roster/austin-freeman/594,https://www.instagram.com/_sugarfree5/,https://morganstatebears.com/staff-directory/austin-freeman/405,,,,,,,,,,,,,,,,,,,,
Jason Johnson,https://baseballsavant.mlb.com/savant-player/jason-johnson-116595,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Morrow,https://baseballsavant.mlb.com/savant-player/brandon-morrow-453344?stats=statcast-r-pitching-mlb,,,,,,,,,,,,,,,,,,,,,,,,
Luke Kunin,https://en.wikipedia.org/wiki/Luke_Kunin,https://www.nhl.com/sharks/player/luke-kunin-8479316,https://www.espn.com/nhl/player/_/id/4024933/luke-kunin,,,,,,,,,,,,,,,,,,,,,,
Max Domi,https://en.wikipedia.org/wiki/Max_Domi,https://www.nhl.com/mapleleafs/player/max-domi-8477503,https://www.espn.com/nhl/player/_/id/3042014/max-domi,https://www.instagram.com/max/?hl=en,https://www.instagram.com/inrangepodcast/?hl=en,https://x.com/maxdomi?lang=en,,,,,,,,,,,,,,,,,,,
Kaapo Kakko,https://en.wikipedia.org/wiki/Kaapo_Kakko,https://www.nhl.com/kraken/player/kaapo-kakko-8481554,,,,,,,,,,,,,,,,,,,,,,,
Riley Tufte,https://en.wikipedia.org/wiki/Riley_Tufte,https://www.nhl.com/bruins/player/riley-tufte-8479362,https://www.espn.com/nhl/player/_/id/4024985/riley-tufte,,,,,,,,,,,,,,,,,,,,,,
Jordan Morris,https://en.wikipedia.org/wiki/Jordan_Morris,https://www.mlssoccer.com/players/jordan-morris/,https://www.instagram.com/j.morris13/?hl=en,https://x.com/jmosmooth13?lang=en,https://www.ussoccer.com/players/m/jordan-morris,,,,,,,,,,,,,,,,,,,,
Andy Rose,https://en.wikipedia.org/wiki/Andy_Rose,https://www.soundersfc.com/club/coaches/andy-rose,,,,,,,,,,,,,,,,,,,,,,,
Nacho Fernandez,"https://en.wikipedia.org/wiki/Nacho_(footballer,_born_1990)",,,,,,,,,,,,,,,,,,,,,,,,
Jake O'Brien,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Jonas,https://nickjonas.com/,https://en.wikipedia.org/wiki/Nick_Jonas,https://jonasbrothers.com/the-brands/beyond-type-1,https://www.instagram.com/nickjonas/?hl=en,https://www.youtube.com/channel/UCFvXnyAhluG3sa6p3eOs_LA,,,,,,,,,,,,,,,,,,,,
Bret Michaels,https://www.bretmichaels.com/,https://en.wikipedia.org/wiki/Bret_Michaels,https://www.youtube.com/channel/UCtzjhx3zFbzDSMiv1OvUwLQ,,,,,,,,,,,,,,,,,,,,,,